TURBO. SOBREALIMENTACION DE MOTORES RAPIDOS;MIRALLES DE I. -CEAC;40,5;152,9
CARBURADORES;CASTRO MIGUEL -CEAC;65;173,8
MOTOCICLETA. CARBURACION ELECTRICIDAD;CASTRO MIGUEL -CEAC;75;91,3
MOTOCICLETA. TECNICAS DE CONDUCCION;CASTRO MIGUEL -CEAC;65;80,3
MOTOCICLETA. SUSPENCION DIRECCION Y FRENOS;CASTRO MIGUEL -CEAC;65;79,2
SISTEMAS DE SEGURIDAD;PEY       -CEAC;38;46,2
ARMARIOS EMPOTRADOS;PEY       -CEAC;38;103,4
DISLEXIA;VALETT     -CEAC;40,5;72,6
SEXUALIDAD DEL DEFICIENTE LA;BALDARO     -CEAC;28;35,2
VIDEO;RUIZ VASSALLO  -CEAC;101,1;111,21
TECNOLOGIA DE LA CALDERIA. CONF. DE PIEZAS;LOBJOIS     -CEAC;71,6;187
TECNOLOGIA DE LA CALDERIA. UNIONES PROVISIONALES;LOBJOIS     -CEAC;49,8;187
TRUCOS DE OFICIO DE MECANICO;CASTRO MIGUEL -CEAC;0;172,7
ELECRICIODAD DEL AUTOMOVIL I;ENCIC.DEL AUTOM.-CEAC;80,3;370,7
ELECTRICIDAD DEL AUTOMOVIL II;ENCIC.DEL AUTOM.-CEAC;74,2;320,1
ALTERNADOR EL;CASTRO MIGUEL -CEAC;75;205,7
MANUAL DE INSTRUMENTOS ELECTONICOS DE MEDIDA;#¿NOMBRE?;30,8;122,1
MANUAL DE AUTOMACION POR CONTACTORES;ROLDAN     -CEAC;27,7;38,5
MANUAL DEL INSTALADOR ELECTICISTA;ROLDAN     -CEAC;27,7;112,2
MANUAL DEL MONTADOR DE CUADROS ELECTRICOS;PEARES     -CEAC;27,7;35,2
MANUAL DE MEDIDAS ELECRICAS;ROLDAN     -CEAC;27,7;35,2
MANUAL DE MANTENIMIENTO DE MAQUINAS Y EQUIPOS ELEC;REY       -CEAC;27,7;34,1
MANUAL DE INTERPRETACION DE ESQUEMAS ELECTRICOS;RUIZ      -CEAC;27,7;36,3
MANUAL DE REPARACION DE MAQUINAS DE CORRIENTE CONT;RAMIREZ     -CEAC;27,7;112,2
MANUAL DE REPARACION DE MAQUINAS DE CORRIENTE ALTE;#¿NOMBRE?;27,7;112,2
COMO HACER ARBOLES MINIATURA;MARTOS     -CEAC;9,1;38,5
COMO HACER MACRAME;GILLI      -CEAC;9,1;38,5
ASI SE HACEN LAS FLORES DE PAPEL;STROSSE     -CEAC;9,1;38,5
MANUALIDADES CON TROZOS DE MADERA;SIMMET     -CEAC;9,1;35,2
COCINA VEGETARIANA LA;BROWNS     -CEAC;48,8;152,9
EN 30 DIAS MAS ESTETICO;COX       -CEAC;8;16,5
MANUAL DEL CARBURADOR;CASTRO MIGUEL -CEAC;35,8;137,5
MANUAL DEL ENCENDIDO;CASTRO MIGUEL -CEAC;39,6;137,5
MANUAL DE INYECCION DIESEL;CASTRO MIGURL -CEAC;35,8;137,5
MANUAL DEL TURBO;CASTRO MIGUEL -CEAC;35,8;137,5
COOPERATIVA DE CONSUMO LA;COLOMER     -CEAC;28;49,5
SOCIO COOPERATIVO EL;DIAZ ARGAL   -CEAC;24,9;28,6
LEY DE COOPERATIVAS;ROSEMBUJ    -CEAC;28;35,2
EMPRESA COOPERATIVA LA;ROSEMBUJ    -CEAC;24,9;60,5
COOPERATIVA DE VIVIENDAS LA;MAGRIÑA     -CEAC;28;49,5
CONSTRUCCION Y NUEVOS MODELOS DE CHIMENEAS;MARQUEZ     -CEAC;30;77
ARCOS Y BOVEDAS;MORENO GARCIA  -CEAC;30;82,5
MODELOS Y PRESUPUESTOS DE OBRAS;#¿NOMBRE?;65;84,7
CORTE Y CONFECCION 3;#¿NOMBRE?;0;135,3
TECNICAS BASICAS DE EDUCACION FISICA;PHYLLIS C JACOBSON;0;75,9
FRUTALES EN EL JARDIN;BLACKBURNE PETER;0;91,3
COMO ADELGAZAR SIN HAMBRE Y SIN FRUSTRACION;VIET GERARD;0;121
224 MODELOS DE PUERTAS;AYUSO CARLOS;0;139,7
TECNICAS BASICAS DE AEROGRAFIA;METTE MICHAEL;0;115,5
GUIA COMPLETA DE VIDEO;HEDGECOE JOHN;0;316,8
260 MODELOS DE VENTANAS;AYUSO CARLOS;0;145,2
PINTANDO A LA ACUARELA;COMAMALA JUAN;0;135,3
PINTANDO AL OLEO;COMAMALA JUAN;0;152,9
285 MODELOS DE FLORES Y ARBOLES;COMAMALA JUAN;0;96,8
PINTANDO CON ACRILICOS;MARTIN ANTONIO;0;111,1
PERSPECTIVA;ROTGANS HENK;0;99
PINTANDO Y DIBUJANDO FLORES;VELASCO;0;68,2
DIBUJANDO EL PAISAJE;JOSE ANTONINO;0;111,1
DIBUJO REALISTA EL;REYNA RUDY;0;169,4
DIBUJANDO CON ROTULADORES;MARTIN ANTONIO;0;84,7
DIBUJANDO LA CABEZA HUMANA;CALDERON;0;122,1
DIBUJANDO AL CARBON;PITZ HENRY;0;111,1
DIBUJANDO A LAPIZ;BAEZA MARIO;0;138,6
DIBUJANDO CARICATURAS;PASTECCA;0;122,1
DIBUJANDO AL RETRATO;CALDERON;0;91,3
DIBUJANDO ANIMALES;VELASCO;0;111,1
ARTE DEL BONSAI EL;ODDONE CARLO;0;111,1
MASCARAS;#¿NOMBRE?;0;62,7
FAROLILLOS PARA FIESTAS;#¿NOMBRE?;0;46,2
TIFFANY;#¿NOMBRE?;0;30,8
PINTAR Y DIBUJAR;#¿NOMBRE?;0;39,6
PINTURA AL PASTEL LA;#¿NOMBRE?;0;46,2
PIEDRAS PINTADAS POR NIÑOS;EPPLE DORIS;0;20,9
TECNICA FOTOGRAFICA;HEDGECOE JOHN;0;163,9
MANUAL DE INSTALACIONES DE AGUA Y GAS;#¿NOMBRE?;0;99
MANUAL DE INSTALACIONES CONTRA INCENDIOS;CEAC;0;99
GUIA DEL JARDINERO AFICIONADO;PUIBOUBE DANIEL;0;114,4
TODO SOBRE LAS VITAMINAS Y LA ALIMENTACION P/NIÑOS;MINDELL EARL;0;200,2
FERTILIZACION DE ARBOLES FRUTALES;LALATTA FILIPPO;0;111,1
CULTIVO DEL TOMATE EL;ANDERLINI ROBERTO;0;95,7
PLAGAS DEL CAMPO;#¿NOMBRE?;0;67,1
GUIA PRACTICA DE HORTICULTURA;TURCHI ANTONIO;0;129,8
MANUAL DEL VIDEO AFICIONADO;CHESHIRE DAVID;0;163,9
COMO REPARAR LAS AVERIAS DE FONTANERIA;CASANUEVA FRANCISCO;0;72,6
BARCOS EN BOTELLAS;#¿NOMBRE?;0;60,5
